,Filename,Title,Keywords,Category
0,upscaled_000_2025-07-21T13-23.png,リビングで書類について話し合う夫婦の共感的瞬間を描いた線画イラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,リビング,書類,説明,共感,やり取り,コミュニケーション,意思疎通,理解,ノンバーバル,シンプル,線画,感情,雰囲気,家族,日常,テーブル,話し合い,軽い服装,ニット,男性,女性,横顔,ライフスタイル,室内,クローズアップ,イラスト,背景なし,ネガティブスペース,顔なし,シンプルデザイン,夫,妻,会話,ポーズ,資料,アート,表現,ホワイトスペース,アイコン風,説明資料,相談",12
1,upscaled_001_2025-07-21T13-23.png,夫婦の理解と絆を表すソファでの読書の瞬間を描くシンプルイラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,読書,ソファ,理解,共感,絆,夫,妻,手振り,本,コミュニケーション,シンプル,ミニマル,ラインアート,無地背景,家族,リビング,インテリア,大人,日常,生活,集中,対話,リアクション,発見,応答,やさしさ,癒し,温かみ,白黒,抽象,静けさ,関係,カップル,指差し,ブランケット,表情,説明,共通理解,落ち着き,無名",12
2,upscaled_002_2025-07-21T13-23.png,キッチンカウンター越しに理解し合う夫婦の抽象的イラストと数学的思考,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,理解,キッチン,カウンター,コミュニケーション,会話,抽象,イラスト,白背景,浮遊感,微笑み,シルエット,線画,数学,ホワイトボード,方程式,思考,知識,教育,夫,妻,家族,シンプル,ミニマル,空間,ジェスチャー,手振り,日常生活,家庭,温かい,指差し,現代的,スマート,静か,優しさ,関係性,共感,愛情,協力,直感,理解の瞬間,スマイル,新しい発見,",12
3,upscaled_003_2025-07-21T13-23.png,ブランケットの上でタブレットを見せ合う仲睦まじい夫婦のイラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,男女,タブレット,デジタル,デバイス,コミュニケーション,交流,シンプル,アウトライン,線画,ファミリー,家庭,日常,スマート機器,座る,リラックス,会話,愛情,つながり,ポジティブ,テクノロジー,イラスト,背景なし,負のスペース,ミニマル,ジェスチャー,微笑み,仲良し,幸福,見せる,提案,指差し,新しい体験,共感,大人,現代,ハグなし,夫,妻,クリエイティブ",12
4,upscaled_004_2025-07-21T13-23.png,シンプルな線画で食卓に向き合う夫婦の理解の瞬間を表現したイラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,線画,食卓,理解,シンプル,清潔感,コミュニケーション,ブループリント,手描き,白背景,集中,発見,思考,ミニマル,アイデア,日常生活,現代,ライフスタイル,対話,インテリア,落ち着き,余白,知性,学び,設計図,創造性,コンセプト,大人,夫,妻,手指,文房具,ペン,家族,空間,コラボレーション,穏やか,目的,発想,会話,ヒューマンストーリー,幸福,一緒,発展",12
5,upscaled_005_2025-07-21T13-23.png,公園のベンチで寄り添い理解し合う夫婦の静かな時間,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,公園,ベンチ,ノート,ペン,ジェスチャー,コミュニケーション,緑,シンプル,理解,共感,喜び,幸せ,リラックス,笑顔,書く,生活,日常,ペア,ライフスタイル,愛,パートナー,共有,安らぎ,家族,絆,平和,穏やか,背中,シルエット,情景,手,自然,グリーン,休日,休憩,交流,思いやり,心,関係,無表情,顔なし,現代",12
6,upscaled_006_2025-07-21T13-23.png,シンプルな線画で表現された木の床で書類を広げて夫婦が理解し合う瞬間,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,木の床,書類,ミニマリズム,イラスト,線画,シルエット,シンプル,背景なし,コミュニケーション,理解,喜び,幸せ,日常,生活,感情,手を指す,寄り添う,膝を組む,アイコン風,家族,パートナーシップ,ラブ,手,リラックス,親密,表情なし,現代的,和やか,愛情,共同作業,紙,座る,家庭,対話,サポート,男女,雰囲気,抽象,ジェスチャー,静寂",12
7,upscaled_007_2025-07-21T13-23.png,夫婦が共用デスクで協力し合いアイデアを共有するミニマルな仕事風景イラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,仕事,デスク,共有,協力,アイデア,コミュニケーション,PC,タブレット,理解,同意,ミニマル,クリーン,ネガティブスペース,オフィス,カップル,ビジネス,会議,打ち合わせ,プロジェクト,スマート,洗練,現代的,大人,男女,部分的,手元,指差し,自然体,集中,リラックス,顔なし,ノンバーバル,電子機器,シンプル,精密,洗練された,現代社会,関係性,ワークライフ,空間設計",3
8,upscaled_008_2025-07-21T13-23.png,ベッドルームで親密なひとときを共有する夫婦のミニマルイラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,寝室,ミニマリズム,イラスト,白背景,本,読書,シンプル,ラインアート,親密,パートナー,家庭,指差し,対話,関係性,コミュニケーション,カップル,共感,日常,モノクロ,家具,ベッド,夫,妻,リビング,静寂,発見,理解,瞬間,ストーリー,説明,感動,表現,生活,共通体験,クリエイティブ,手,ジェスチャー,集中,愛情,ストックイラスト,説明,教育的,共有",12
9,upscaled_009_2025-07-21T13-23.png,玄関マットの上で和解し理解を示す夫婦の手紙の瞬間イラスト,"子育て,疑問,夫婦,家族,保険,金融,クレジットカード,質問,悩み,FAQ,解決, 夫婦,カップル,和解,理解,コミュニケーション,玄関,ドアマット,手紙,メモ,マップ,ステップ,ジェスチャー,優しさ,微笑み,ラインアート,イラスト,服装,体の動き,表情なし,背景なし,空間,距離,歩み寄り,関係,ドラマ,感情,変化,仲直り,人間関係,パートナー,シンプル,モノクロ,日常,夫,妻,対話,やりとり,穏やか,平和,男女,描写,姿勢",13
